#SampleID	Animal	Litter	BirthCage	TreatmentCage	TreatmentPlan
KD601	F3-944M	1	21	1	oil
KD602	F3-945M	1	21	1	oil
KD603	F3-946M	1	21	1	tam
KD604	F4-24M	4	21	6	oil
KD605	F4-25M	4	21	6	oil
KD606	F4-27M	4	21	6	oil
KD607	F4-29F	4	21	7	oil
KD608	F4-31F	4	21	7	tam
KD609	F4-32F	4	21	7	tam
KD610	F4-67M	7	21	10	oil
KD611	F4-71M	7	21	10	oil
KD612	F4-68M	7	21	10	tam
KD613	F4-69M	7	21	10	tam
KD614	F4-72F	7	21	11	oil
KD615	F4-73F	7	21	11	oil
KD616	F4-74F	7	21	11	oil
KD617	F4-75F	7	21	11	tam
KD618	F4-76F	7	21	11	tam
KD619	F4-78M	8	23	12	oil
KD620	F4-80M	8	23	12	tam
KD621	F4-81M	8	23	12	tam
KD623	F4-115F	9	23	13	tam
KD624	F4-116F	9	23	13	tam
KD625	F4-155M	12	23	16	tam
KD626	F4-156M	12	23	16	tam
KD627	F4-157M	12	23	16	oil
KD628	F4-163M	13	21	17	tam
KD629	F4-164M	13	21	17	oil
KD630	F4-166M	13	21	17	tam
KD631	F4-182F	15	23	19	oil
KD632	F4-183F	15	23	19	tam
KD633	F4-184F	15	23	19	tam
KD634	F4-223F	17	23	21	oil
KD635	F4-224F	17	23	21	oil
KD636	F4-225F	17	23	21	tam
KD637	F4-226F	17	23	21	tam
KD639	F4-230F	18	21	22	oil
KD641	F4-232F	18	21	22	tam
KD642	F4-267F	20	21	24	oil
KD643	F4-269F	20	21	24	oil
KD644	F4-270F	20	21	24	tam
